Incident No.,Reported Date,Reported Time,Category,Building/ Site Name,Incident Summary,Incident Status
1-2013-002351,08/26/2013,10:00 PM,Larceny,Kimmel Center for University Life,"On time and date of report, a student states that between 9:50pm and time/date of report, his bag containing a credit card and a Mac laptop computer valued at $1,500 was taken from the rear of the E&L auditorium on the 4th floor while the property was left unattended. NYPD notified and a police report was filed.",Open/Under Investigation
1-2013-002357,08/27/2013,12:35 AM,Assault,On Campus,"On time and date of report, a Public Safety officer was assaulted by two homeless individuals in front of 269 Mercer Street. Responding Public Safety personnel and NYPD detained the individuals who were placed under arrest.",Closed/Arrest Involved
1-2013-002361,08/27/2013,1:45 PM,Disorderly Conduct,Kriser Dental Center,"On time and date of report, a patient became belligerent and threatening to staff members. Individual left premises without further confrontation.",Closed/Referred to Appropriate Department
1-2013-002362,08/27/2013,3:10 PM,Harassment,On Campus,"On time and date of report, a student states that a few minutes prior to making this report, three males in a vehicle parked on the corner of Waverly Place and Greene street made several comments to her in Spanish and English that made her feel uncomfortable.",Open/Under Investigation
1-2013-002364,08/27/2013,7:50 PM,Larceny,Kimmel Center for University Life,"On time and date of report, a student states that between 9:30pm and 10pm on August 16th, her I-phone valued at $500 was taken from a location in the E&L auditorium on the 4th floor. Declined police notification at this time.",Open/Under Investigation
1-2013-002369,08/28/2013,8:20 AM,Larceny,Silver Center,"On time and date of report, Public Safety was apprised by a staff member that construction supplies with a value of $1,800 was taken from a 7th floor location between 3:30pm on August 26th and 7am on August 27th. Declined police notification.",Open/Under Investigation
1-2013-002371,08/28/2013,6:20 PM,Larceny,726 Broadway/NYU Bookstore,"On time and date of report, a male, non NYU affiliated individual was observed concealing property in the amount of $80.95 and attempted to leave the store without paying. Individual was detained, and then arrested by responding NYPD.",Closed/Arrest Involved
1-2013-002372,08/28/2013,9:45 pm,Larceny,Coles Sports Center,"On time and date of report, a student states that between 4pm and 4:02pm on date of report, his wallet containing cash, a debit card and personal identification was taken from his unlocked locker. Declined police notification.",Open/Under Investigation
1-2013-002373,08/28/2013,10:45 PM,Larceny,Tisch Hall Bicycle rack,"On time and date of report, a student states that between 9:30am and 10:30pm on date of report, his bicycle valued at $400 was taken from this location. Declined police notification at this time.",Open/Under Investigation
1-2013-002374,08/29/2013,2:30 AM,Controlled Substance,University Hall,"On time and date of report, Public Safety assisted residence life staff with the confiscation of marijuana from a student's room.",Closed/Referred to University Judicial
1-2013-002380,08/29/2013,12:45 PM,Trespass,Vanderbilt Hall,"On time and date of report, Public Safety was apprised of an unidentified male wandering into offices seeking legal advice. The individual was located and identified as a student at another college. Individual was escorted out of building.",Closed/No Further Action
1-2013-002382,08/29/2013,3:45 PM,Larceny,Henry Kaufman Management Center,"On time and date of report, a faculty member states that between 8pm August 25th and 12pm August 27th, his laptop computer was taken from a room on the 7th floor. There was no visible indiviation of forcible entry. Declined police notification.",Open/Under Investigation
1-2013-002386,08/29/2013,5:10 PM,Larceny,Brittany Residence Hall,"On time and date of report, a student states that between 6pm August 28th and 12 noon August 29th, his wallet containing an undetermined amount of cash was taken from his room on the 11th floor. Complainant states there were a number of other students present in the room during this time period. Declined police notification.",Open/Under Investigation
1-2013-002390,08/29/2013,4:45 PM,Larceny,Pless Hall,"On time and date of report, a student states that between 4:15pm and 4:30pm on date of report, her I-Phone of undetermined value and Mac laptop computer valued at $2,800 were taken while left unattended on the 5th floor. NYPD notified and responded. I-Phone was tracked to a location in Washington Square Park where it was discovered in the bushes.",Open/Under Investigation
1-2013-002391,08/29/2013,8:30 PM,Larceny,Kimmel Center for University Life,"On time and date of report, a student states that between 7pm and 8pm on date of report, two I-phones with a combined value of $1,420 were taken from the 3rd floor market place while the property was left unattended. NYPD notified and a police report was filed.",Open/Under Investigation
1-2013-002392,08/29/2013,10:10 PM,Larceny,Kimmel Center for University Life,"On time and date of report, a student states that between 9:40pm and 9:55pm on date of report, her smart phone valued at $400 was removed from her backpack while it was left unattended in a room on the 8th floor. NYPD notified and a police report was filed.",Open/Under Investigation
1-2013-002393,08/29/2013,10:35 PM,Larceny,Kimmel Center for University Life,"On time and date of report, a student states that between 8:30pm and 8:55 pm on date of report, his Mac laptop computer valued at $1,500 was taken from a location on the 8th floor while the property was left unattended. NYPD notified and a police report was filed.",Open/Under Investigation
1-2013-002394,08/30/2013,12:20 AM,Larceny,Kimmel Center for University Life,"On time and date of report, a student states that between 10pm and 10:30pm on August 29th, his smart phone valued at $100 was taken somewhere on the 10th floor.",Open/Under Investigation
1-2013-002395,08/30/2013,12:30 AM,Larceny,Kimmel Center for University Life,"On time and date of report, a student states that between 11:40pm and 11:50pm on August 29th, her I-phone valued at $200 was taken somewhere in the building.",Open/Under Investigation
1-2013-002410,08/31/2013,2:35 AM,Robbery,Off Campus,"On time and date of report, a student states while he and a friend (non NYU affiliated) were walking on University Place betwen 8th and 9th streets a few minutes prior to making this report, an unidentified male black with a Mohawk style haricut robbed them of two phones and a wallet. NYPD notified and filed a report.",Closed/Referred to NYPD
1-2013-002414,08/31/2013,3:30 PM,Larceny,Third Avenue North Residence,"On time and date of report, a student states that between 12noon and time/date of report, clothing valued at $80 was taken from the laundry room. Declined police notification.",Open/Under Investigation
1-2013-001925,07/04/2013,12:11 AM,Controlled Substance,Hayden Hall,"On time and date of report, Public Safety assisted residence life staff with the confiscation of drug paraphernalia from a student's room.",Closed/Referred to University Judicial
1-2013-001937,07/06/2013,5:40 AM,Attempted Trespass,13th Street Residence,"On time and date of report, a student states that at 5am on date of report, she observed an unidentified male trying to get on the balcony of her room on the 8th floor. Public Safety responded and observed an Asian male climbing down to the roof of an adjacent building. NYPD notified and responded. They canvassed the adjacent building without success. An inspection of the 13th street residence hall did not reveal any unauthorized access.",Closed/Referred to NYPD
